description,label_history,label_food,label_adventure,label_culture,label_nature,label_relaxation,label_shopping,label_nightlife,label_family,label_local_experience,label_luxury,label_budget_conscious,label_accessibility,label_early_riser,label_night_owl,label_off_beaten_path,label_instagram_worthy,label_needs_breaks,label_sustainable,label_vegetarian,label_group_activities
"I'm really into soaking up the local culture and history, and I'm always up for hitting the sights early in the morning.  Plus, I'm trying to keep costs down on this trip.",1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"I'm looking for a destination with a vibrant nightlife scene, but also something with a rich history to explore.  I'd love to find a place that prioritizes sustainability and takes me off the well-trodden path, ideally with some group activities planned.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
"I'm really looking for a place with delicious, local food and a vibrant nightlife scene.  Ideally, I want to experience the culture and try to find places that are committed to sustainability, too.",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"I'm really drawn to places off the main tourist trail, where I can find unique local food and experience authentic culture.  I also love a good adventure and lively nightlife, but prefer options that support sustainable practices.",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"I love a good vibrant nightlife scene, but I also need plenty of downtime and breaks.  Nature is a must, and I'm hoping to find places with family-friendly activities, plus some amazing local food.  I'm a night owl, so I really enjoy the evening hours.",0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
"I'm looking for a place that's both relaxing and steeped in local culture, ideally somewhere that prioritizes sustainable practices and is easy to get around.",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"I'm looking for a trip that has some exciting activities for the group, and delicious vegetarian food is a must.  I love exploring new places and being part of a fun, shared experience.",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"I love a good adventure, and I'm always on the lookout for unique, Instagram-worthy spots.  Plus, I'm really into getting a feel for the local culture, finding those hidden gems that offer a truly authentic experience.  I'd happily spend a few hours browsing the markets and shops, too.",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"I'm really drawn to cities with a rich history – I love learning about the past.  Plus, I'm looking for places with vibrant nightlife, but I also want to make sure any venues I visit are eco-friendly, and accessible to everyone.",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"I love exploring new places with my family, but we need plenty of downtime to relax and recharge.  I'm always looking for cool shops and restaurants, and we definitely want to experience the local nightlife, but also get out into nature to hike or just enjoy a scenic view.  And since I'm vegetarian, it's important to find options to suit me.",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"I'm looking for a destination that offers thrilling adventures for the whole family,  a chance to soak up the local culture, and some lively nights out.  Ideally, it would be somewhere sustainable and visually stunning, perfect for capturing some amazing Instagram pics.",0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
